Date,Close,signals,close_position
8/24/2016,1.130084,,
8/25/2016,1.12638,,
8/26/2016,1.12905,,
8/29/2016,1.119946,,
8/30/2016,1.119282,,
8/31/2016,1.115324,,
9/1/2016,1.116071,,
9/2/2016,1.120072,,
9/5/2016,1.116196,,
9/6/2016,1.115324,,
9/7/2016,1.125366,,
9/8/2016,1.124101,,
9/9/2016,1.127142,,
9/12/2016,1.124113,,
9/13/2016,1.124354,,
9/14/2016,1.121869,,
9/15/2016,1.124733,,
9/16/2016,1.124594,,
9/19/2016,1.115847,,
9/20/2016,1.118068,,
9/21/2016,1.115399,,
9/22/2016,1.119319,,
9/23/2016,1.121013,,
9/26/2016,1.123924,,
9/27/2016,1.124986,,
9/28/2016,1.121957,,
9/29/2016,1.122498,,
9/30/2016,1.121957,,
10/3/2016,1.123469,,
10/4/2016,1.121039,,
10/5/2016,1.121076,,
10/6/2016,1.120825,,
10/7/2016,1.114455,,
10/10/2016,1.119695,,
10/11/2016,1.114082,,
10/12/2016,1.106195,,
10/13/2016,1.101188,,
10/14/2016,1.104972,,
10/17/2016,1.09678,,
10/18/2016,1.101564,,
10/19/2016,1.097695,,
10/20/2016,1.097514,,
10/21/2016,1.09304,,
10/24/2016,1.088258,,
10/25/2016,1.087548,,
10/26/2016,1.088732,,
10/27/2016,1.091203,,
10/28/2016,1.090037,,
10/31/2016,1.098467,,
11/1/2016,1.097333,,
11/2/2016,1.105705,,
11/3/2016,1.109755,,
11/4/2016,1.110248,,
11/7/2016,1.110124,,
11/8/2016,1.105217,,
11/9/2016,1.101904,,
11/10/2016,1.092061,,
11/11/2016,1.088969,,
11/14/2016,1.082485,,
11/15/2016,1.075038,,
11/16/2016,1.072731,,
11/17/2016,1.070664,,
11/18/2016,1.062304,,
11/21/2016,1.058425,,
11/22/2016,1.063886,,
11/23/2016,1.063377,,
11/24/2016,1.054519,,
11/25/2016,1.056189,,
11/28/2016,1.061233,,
11/29/2016,1.062135,,
11/30/2016,1.064849,,
12/1/2016,1.05921,,
12/2/2016,1.066314,,
12/5/2016,1.058201,,
12/6/2016,1.075732,,
12/7/2016,1.072041,,
12/8/2016,1.076195,,
12/9/2016,1.062135,,
12/12/2016,1.054741,,
12/13/2016,1.064169,,
12/14/2016,1.062925,,
12/15/2016,1.051414,,
12/16/2016,1.041884,,
12/19/2016,1.044998,,
12/20/2016,1.040583,,
12/21/2016,1.039047,,
12/22/2016,1.042862,,
12/23/2016,1.043765,,
12/26/2016,1.045478,,
12/27/2016,1.045697,,
12/28/2016,1.046233,,
12/29/2016,1.041699,,
12/30/2016,1.05753,,
1/2/2017,1.052698,,
1/3/2017,1.046003,,
1/4/2017,1.041992,,
1/5/2017,1.050089,,
1/6/2017,1.060592,,
1/9/2017,1.053186,,
1/10/2017,1.058862,,
1/11/2017,1.055242,,
1/12/2017,1.059771,,
1/13/2017,1.061684,,
1/16/2017,1.062869,,
1/17/2017,1.060299,,
1/18/2017,1.069679,,
1/19/2017,1.062778,,
1/20/2017,1.065973,,
1/23/2017,1.071375,,
1/24/2017,1.076079,,
1/25/2017,1.072869,,
1/26/2017,1.075199,,
1/27/2017,1.068296,,
1/30/2017,1.071398,,
1/31/2017,1.070859,,
2/1/2017,1.08038,,
2/2/2017,1.076739,,
2/3/2017,1.076171,,
2/6/2017,1.078295,,
2/7/2017,1.074322,,
2/8/2017,1.067806,,
2/9/2017,1.069221,,
2/10/2017,1.065859,,
2/13/2017,1.061954,,
2/14/2017,1.05985,,
2/15/2017,1.057832,,
2/16/2017,1.060738,,
2/17/2017,1.067225,,
2/20/2017,1.062665,,
2/21/2017,1.06094,,
2/22/2017,1.054207,,
2/23/2017,1.055409,,
2/24/2017,1.058447,,
2/27/2017,1.055275,,
2/28/2017,1.058425,,
3/1/2017,1.056915,,
3/2/2017,1.053585,,
3/3/2017,1.050972,,
3/6/2017,1.062045,,
3/7/2017,1.057921,,
3/8/2017,1.057015,,
3/9/2017,1.054741,,
3/10/2017,1.057843,,
3/13/2017,1.069004,,
3/14/2017,1.065144,,
3/15/2017,1.061244,,
3/16/2017,1.073791,,
3/17/2017,1.07747,,
3/20/2017,1.074299,,
3/21/2017,1.073768,,
3/22/2017,1.081245,,
3/23/2017,1.079016,,
3/24/2017,1.078388,,
3/27/2017,1.084952,,
3/28/2017,1.086095,,
3/29/2017,1.081771,,
3/30/2017,1.075963,,
3/31/2017,1.068707,,
4/3/2017,1.066883,,
4/4/2017,1.067008,,
4/5/2017,1.068034,,
4/6/2017,1.067247,,
4/7/2017,1.064464,,
4/10/2017,1.058201,,
4/11/2017,1.05976,,
4/12/2017,1.061132,,
4/13/2017,1.067065,,
4/14/2017,1.061639,,
4/17/2017,1.061053,,
4/18/2017,1.064453,,
4/19/2017,1.072869,,
4/20/2017,1.071501,,
4/21/2017,1.07149,,
4/24/2017,1.087394,,
4/25/2017,1.086484,,
4/26/2017,1.092825,,
4/27/2017,1.090893,,
4/28/2017,1.086425,,
5/1/2017,1.09075,,
5/2/2017,1.090893,,
5/3/2017,1.093565,,
5/4/2017,1.088898,,
5/5/2017,1.098153,,
5/8/2017,1.096515,,
5/9/2017,1.092777,,
5/10/2017,1.088684,,
5/11/2017,1.087075,,
5/12/2017,1.086496,,
5/15/2017,1.092729,,
5/16/2017,1.098177,,
5/17/2017,1.109398,,
5/18/2017,1.115636,,
5/19/2017,1.111358,,
5/22/2017,1.120486,,
5/23/2017,1.123886,,
5/24/2017,1.117931,,
5/25/2017,1.123091,,
5/26/2017,1.121076,,
5/29/2017,1.117606,,
5/30/2017,1.112904,,
5/31/2017,1.117169,,
6/1/2017,1.124354,,
6/2/2017,1.121579,,
6/5/2017,1.128083,,
6/6/2017,1.125682,,
6/7/2017,1.127142,,
6/8/2017,1.125518,,
6/9/2017,1.118481,,
6/12/2017,1.120197,,
6/13/2017,1.11962,,
6/14/2017,1.120888,,
6/15/2017,1.121579,,
6/16/2017,1.114691,,
6/19/2017,1.120825,,
6/20/2017,1.114455,,
6/21/2017,1.113697,,
6/22/2017,1.11672,,
6/23/2017,1.114964,,
6/26/2017,1.119884,,
6/27/2017,1.118356,,
6/28/2017,1.133915,,
6/29/2017,1.138265,,
6/30/2017,1.144165,,
7/3/2017,1.142309,,
7/4/2017,1.137139,,
7/5/2017,1.136015,,
7/6/2017,1.134687,,
7/7/2017,1.142478,,
7/10/2017,1.140381,,
7/11/2017,null,,
7/12/2017,1.147394,,
7/13/2017,1.141891,,
7/14/2017,1.140394,,
7/17/2017,1.147539,,
7/18/2017,1.147434,,
7/19/2017,1.154974,,
7/20/2017,1.152844,,
7/21/2017,1.162872,,
7/24/2017,1.16817,,
7/25/2017,1.163887,,
7/26/2017,1.164456,,
7/27/2017,1.1728,,
7/28/2017,1.168866,,
7/31/2017,1.174729,,
8/1/2017,1.18241,,
8/2/2017,1.181126,,
8/3/2017,1.185115,,
8/4/2017,1.188495,,
8/7/2017,1.177842,,
8/8/2017,1.180094,,
8/9/2017,1.175461,,
8/10/2017,1.176152,,
8/11/2017,1.177024,,
8/14/2017,1.18255,,
8/15/2017,1.177579,,
8/16/2017,1.174122,,
8/17/2017,1.177426,,
8/18/2017,1.17155,,
8/21/2017,1.175627,,
8/22/2017,1.181195,,
8/23/2017,1.176221,,
8/24/2017,1.181656,,
8/25/2017,1.18022,,
8/28/2017,1.195186,,
8/29/2017,1.196387,,
8/30/2017,1.197046,,
8/31/2017,1.189343,,
9/1/2017,1.191043,,
9/4/2017,1.188284,,
9/5/2017,1.189343,,
9/6/2017,1.192407,,
9/7/2017,1.192777,,
9/8/2017,1.202906,,
9/11/2017,1.201764,,
9/12/2017,1.195943,,
9/13/2017,1.197461,,
9/14/2017,1.189061,,
9/15/2017,1.192165,,
9/18/2017,1.193716,,
9/19/2017,1.195929,,
9/20/2017,1.199256,,
9/21/2017,1.187211,,
9/22/2017,1.194558,,
9/25/2017,1.19272,,
9/26/2017,1.185565,,
9/27/2017,1.178606,,
9/28/2017,1.174964,,
9/29/2017,1.178175,,
10/2/2017,1.180735,,
10/3/2017,1.173378,,
10/4/2017,1.174757,,
10/5/2017,1.175724,,
10/6/2017,1.171234,,
10/9/2017,1.174246,,
10/10/2017,1.174164,,
10/11/2017,1.181488,,
10/12/2017,1.186549,,
10/13/2017,1.18318,,
10/16/2017,1.181405,,
10/17/2017,1.179454,,
10/18/2017,1.177191,,
10/19/2017,1.179523,,
10/20/2017,1.184806,,
10/23/2017,1.175364,,
10/24/2017,1.175917,,
10/25/2017,1.175903,,
10/26/2017,1.182075,,
10/27/2017,1.163724,,
10/30/2017,1.160456,,
10/31/2017,1.16527,,
11/1/2017,1.165175,,
11/2/2017,1.162872,,
11/3/2017,1.166181,,
11/6/2017,1.161494,,
11/7/2017,1.161265,,
11/8/2017,1.160106,,
11/9/2017,1.159689,,
11/10/2017,1.164687,,
11/13/2017,1.166113,,
11/14/2017,1.166494,,
11/15/2017,1.179287,,
11/16/2017,null,,
11/17/2017,1.177745,,
11/20/2017,1.173186,,
11/21/2017,1.174122,,
11/22/2017,1.173723,,
11/23/2017,1.181474,,
11/24/2017,1.185396,,
11/27/2017,1.192649,,
11/28/2017,1.19049,,
11/29/2017,1.184806,,
11/30/2017,1.185199,,
12/1/2017,1.189825,,
12/4/2017,1.185986,,
12/5/2017,1.186775,,
12/6/2017,1.183292,,
12/7/2017,1.180429,,
12/8/2017,1.177218,,
12/11/2017,1.176997,,
12/12/2017,1.177759,,
12/13/2017,1.17426,,
12/14/2017,1.183586,,
12/15/2017,1.177496,,
12/18/2017,1.174357,,
12/19/2017,1.178425,,
12/20/2017,1.184133,,
12/21/2017,1.187818,,
12/22/2017,1.185733,,
12/25/2017,1.185607,,
12/26/2017,1.187254,,
12/27/2017,1.185789,,
12/28/2017,1.190079,,
12/29/2017,1.194172,,
1/1/2018,1.200495,,
1/2/2018,1.201158,,
1/3/2018,1.206345,,
1/4/2018,1.201043,,
1/5/2018,1.206884,,
1/8/2018,1.203746,,
1/9/2018,1.197046,,
1/10/2018,1.192933,,
1/11/2018,1.195614,,
1/12/2018,1.20421,,
1/15/2018,1.21923,,
1/16/2018,1.226843,,
1/17/2018,1.227129,,
1/18/2018,1.218398,,
1/19/2018,1.223661,,
1/22/2018,1.22555,,
1/23/2018,1.225625,,
1/24/2018,1.231027,,
1/25/2018,1.239111,,
1/26/2018,1.239234,,
1/29/2018,1.242807,,
1/30/2018,1.238114,,
1/31/2018,1.240957,,
2/1/2018,1.241866,,
2/2/2018,1.251001,,
2/5/2018,1.244694,,
2/6/2018,1.236782,,
2/7/2018,1.238129,,
2/8/2018,1.226813,,
2/9/2018,1.226076,,
2/12/2018,1.22528,,
2/13/2018,1.230376,,
2/14/2018,1.235376,,
2/15/2018,1.246727,,
2/16/2018,1.25036,,
2/19/2018,1.241188,,
2/20/2018,1.239864,,
2/21/2018,1.233532,,
2/22/2018,1.228184,,
2/23/2018,1.232666,,
2/26/2018,1.228713,,
2/27/2018,1.231557,,
2/28/2018,1.223032,,
3/1/2018,1.219126,,
3/2/2018,1.227084,,
3/5/2018,1.231542,,
3/6/2018,1.233654,,
3/7/2018,1.241665,,
3/8/2018,1.241465,,
3/9/2018,1.230663,,
3/12/2018,1.230875,,
3/13/2018,1.233958,,
3/14/2018,1.239234,,
3/15/2018,1.237562,,
3/16/2018,1.230921,,
3/19/2018,1.228079,,
3/20/2018,1.233685,,
3/21/2018,1.22519,,
3/22/2018,1.234766,,
3/23/2018,1.232499,,
3/26/2018,1.235437,,
3/27/2018,1.245749,,
3/28/2018,1.240787,,
3/29/2018,1.231027,,
3/30/2018,1.230285,,
4/2/2018,1.231421,,
4/3/2018,1.229271,,
4/4/2018,1.227853,,
4/5/2018,1.228682,,
4/6/2018,1.22516,,
4/9/2018,1.227144,,
4/10/2018,1.23224,,
4/11/2018,1.236308,,
4/12/2018,1.237164,,
4/13/2018,1.23297,,
4/16/2018,1.233259,,
4/17/2018,1.238513,,
4/18/2018,1.237317,,
4/19/2018,1.237915,,
4/20/2018,1.234553,,
4/23/2018,1.22734,,
4/24/2018,1.220897,,
4/25/2018,1.22414,,
4/26/2018,1.217167,,
