Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,1.532700,1.534000,1.527000,1.532800,1.532800,0
2016-03-30,1.528490,1.533260,1.526000,1.528920,1.528920,0
2016-03-31,1.531150,1.534670,1.527000,1.531200,1.531200,0
2016-04-01,1.533800,1.540420,1.531500,1.534000,1.534000,0
2016-04-04,1.536500,1.540970,1.535000,1.536520,1.536520,0
2016-04-05,1.540500,1.546190,1.539000,1.540000,1.540000,0
2016-04-06,1.542140,1.543440,1.535800,1.542400,1.542400,0
2016-04-07,1.534200,1.542920,1.532000,1.534600,1.534600,0
2016-04-08,1.537800,1.539510,1.530000,1.538300,1.538300,0
2016-04-11,1.537140,1.540090,1.530000,1.537330,1.537330,0
2016-04-12,1.533090,1.540610,1.530000,1.533090,1.533090,0
2016-04-13,1.529000,1.531540,1.523000,1.529210,1.529210,0
2016-04-14,1.522690,1.538910,1.522690,1.522590,1.522590,0
2016-04-15,1.535150,1.536450,1.528000,1.535100,1.535100,0
2016-04-18,1.537490,1.539140,1.529200,1.537780,1.537780,0
2016-04-19,1.526300,1.528760,1.517000,1.526860,1.526860,0
2016-04-20,1.520100,1.525940,1.518000,1.520270,1.520270,0
2016-04-21,1.518400,1.530600,1.517000,1.518610,1.518610,0
2016-04-22,1.523860,1.525070,1.518000,1.523600,1.523600,0
2016-04-25,1.521050,1.523990,1.519000,1.520950,1.520950,0
2016-04-26,1.523600,1.530600,1.522100,1.523100,1.523100,0
2016-04-27,1.526300,1.529500,1.523000,1.526200,1.526200,0
2016-04-28,1.526600,1.528880,1.522000,1.527070,1.527070,0
2016-04-29,1.526550,1.540900,1.524300,1.526520,1.526520,0
2016-05-02,1.539930,1.546060,1.536000,1.539900,1.539900,0
2016-05-03,1.545550,1.560600,1.544400,1.545450,1.545450,0
2016-05-04,1.554610,1.561590,1.552000,1.554250,1.554250,0
2016-05-05,1.560100,1.561440,1.547000,1.559900,1.559900,0
2016-05-06,1.548970,1.556100,1.548810,1.548640,1.548640,0
2016-05-09,1.550200,1.561920,1.550200,1.550590,1.550590,0
2016-05-10,1.561890,1.562770,1.556000,1.562020,1.562020,0
2016-05-11,1.556060,1.563360,1.554160,1.556050,1.556050,0
2016-05-12,1.561900,1.563880,1.559000,1.561930,1.561930,0
2016-05-13,1.562420,1.564680,1.547000,1.561880,1.561880,0
2016-05-16,1.553600,1.553750,1.547510,1.553310,1.553310,0
2016-05-17,1.549450,1.552700,1.544500,1.549280,1.549280,0
2016-05-18,1.550410,1.555600,1.547000,1.550610,1.550610,0
2016-05-19,1.550470,1.551710,1.543000,1.550120,1.550120,0
2016-05-20,1.545250,1.550510,1.543100,1.545370,1.545370,0
2016-05-23,1.549590,1.549810,1.542000,1.549550,1.549550,0
2016-05-24,1.546030,1.550780,1.538000,1.545730,1.545730,0
2016-05-25,1.538830,1.540620,1.534000,1.538470,1.538470,0
2016-05-26,1.537670,1.540300,1.535000,1.537820,1.537820,0
2016-05-27,1.537190,1.539390,1.529000,1.537140,1.537140,0
2016-05-30,1.533190,1.539320,1.532310,1.532980,1.532980,0
2016-05-31,1.537590,1.538500,1.531780,1.537400,1.537400,0
2016-06-01,1.533790,1.540490,1.531000,1.533660,1.533660,0
2016-06-02,1.540690,1.542530,1.531000,1.540680,1.540680,0
2016-06-03,1.533900,1.543000,1.532000,1.533810,1.533810,0
2016-06-06,1.541720,1.546190,1.539000,1.541630,1.541630,0
2016-06-07,1.540020,1.542410,1.533000,1.540050,1.540050,0
2016-06-08,1.534980,1.538990,1.532000,1.534820,1.534820,0
2016-06-09,1.534600,1.538720,1.528000,1.535130,1.535130,0
2016-06-10,1.532250,1.534540,1.527000,1.531930,1.531930,0
2016-06-13,1.529410,1.531910,1.524000,1.529540,1.529540,0
2016-06-14,1.530940,1.531190,1.515000,1.530660,1.530660,0
2016-06-15,1.519700,1.523060,1.518000,1.519600,1.519600,0
2016-06-16,1.520920,1.523600,1.506000,1.520950,1.520950,0
2016-06-17,1.516860,1.523750,1.509000,1.516190,1.516190,0
2016-06-20,1.526610,1.529450,1.517000,1.526050,1.526050,0
2016-06-21,1.520400,1.523710,1.509000,1.520390,1.520390,0
2016-06-22,1.510580,1.515660,1.509470,1.510400,1.510400,0
2016-06-23,1.514610,1.526210,1.507000,1.514100,1.514100,0
2016-06-24,1.521740,1.522020,1.488600,1.521300,1.521300,0
2016-06-27,1.497130,1.501110,1.492000,1.498080,1.498080,0
2016-06-28,1.500170,1.502300,1.496000,1.499970,1.499970,0
